find_name	find_taxid	find_taxrank
Alteromonas macleodii str. 'Black Sea 11'	1004785	strain
Alteromonas mediterranea DE1	1004786	strain
Alteromonas macleodii str. 'Balearic Sea AD45'	1004787	strain
Alteromonas mediterranea DE	1774373	strain
Alteromonas macleodii str. 'Black Sea 11'	1004785	strain
Alteromonas mediterranea DE1	1004786	strain
Alteromonas macleodii str. 'Balearic Sea AD45'	1004787	strain
Alteromonas mediterranea DE	1774373	strain
Alteromonas macleodii str. 'Black Sea 11'	1004785	strain
Alteromonas mediterranea DE1	1004786	strain
Alteromonas macleodii str. 'Balearic Sea AD45'	1004787	strain
Alteromonas mediterranea DE	1774373	strain
Alteromonas mediterranea	314275	species
Alteromonas sp.	232	species
Nostoc sp. PCC 7120 = FACHB-418	103690	species
Anoxybacillus caldiproteolyticus	247480	species
Aquamicrobium	69278	genus
Aquamicrobium	69278	genus
Castellaniella	359336	genus
Castellaniella	359336	genus
Castellaniella	359336	genus
Halorubrum	56688	genus
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Sinomonas atrocyanea	37927	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp.	1667	species
Arthrobacter sp.	1667	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter sp. ATCC 21022	1771959	species
Arthrobacter	1663	genus
Arthrobacter sp. ATCC 21022	1771959	species
Aurantimonas	182269	genus
Candidatus Azobacteroides pseudotrichonymphae	511435	species
Azospirillum brasilense	192	species
Bacillus cereus group	86661	species group
Bacillus	1386	genus
Bacillus cereus	1396	species
Bacillus pumilus	1408	species
Bacillus anthracis	1392	species
Bacillus subtilis subsp. subtilis str. 168	224308	strain
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604	1218173	strain
Bacillus cereus group	86661	species group
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Evansella clarkii	79879	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus thuringiensis serovar israelensis	1430	no rank
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus anthracis str. Sterne	260799	strain
Bacillus cereus group	86661	species group
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus pumilus	1408	species
Bacillus pumilus	1408	species
Bacillus pumilus	1408	species
Bacillus pumilus	1408	species
Bacillus cereus	1396	species
Bacillus mycoides	1405	species
Bacillus cereus group	86661	species group
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus ATCC 14579	226900	strain
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus licheniformis	1402	species
Bacillus subtilis	1423	species
Bacillus cereus group	86661	species group
Bacillus cereus group	86661	species group
Bacillus subtilis	1423	species
Bacillus cereus group	86661	species group
Bacillus anthracis str. Vollum	261591	strain
Bacillus cereus	1396	species
Bacillus pumilus	1408	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus mycoides	1405	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Priestia megaterium	1404	species
Bacillus pumilus	1408	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus subtilis subsp. subtilis str. 168	224308	strain
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus anthracis	1392	species
Bacillus cereus	1396	species
Bacillus pumilus	1408	species
Priestia megaterium	1404	species
Bacillus sp. (in: Bacteria)	1409	species
Bacillus subtilis	1423	species
Bacillus cereus	1396	species
Bacillus anthracis	1392	species
Bacillus cereus	1396	species
Bacillus cereus ATCC 4342	526977	strain
Bacillus pumilus	1408	species
Bacillus cereus group	86661	species group
Bacillus pumilus	1408	species
Bacillus subtilis	1423	species
Bacillus sp. (in: Bacteria)	1409	species
Bacillus cereus	1396	species
Bacillus thuringiensis serovar israelensis	1430	no rank
