511145	no rank
1464	species
817	species
817	species
329854	species
371601	species
226186	strain
959	species
959	species
959	species
1684	species
1684	species
518	species
518	species
518	species
518	species
518	species
518	species
518	species
518	species
1477	subspecies
1465	species
1396	species
1464	species
1465	species
1477	subspecies
1477	subspecies
1465	species
1465	species
273384	species
31943	species
2756	species
2756	species
2756	species
235	species
29459	species
29461	species
52132	species
520461	strain
568815	strain
29461	species
224914	strain
359391	strain
430066	strain
235	species
29460	species
29461	species
444163	species
359391	strain
430066	strain
235	species
29459	species
29461	species
29461	species
359391	strain
430066	strain
29461	species
359391	strain
430066	strain
1169205	strain
29461	species
359391	strain
430066	strain
95486	species
95486	species
292	species
32008	genus
95486	species
292	species
292	species
95486	species
292	species
152480	species
292	species
95486	species
95486	species
216591	strain
292	species
331272	strain
95486	species
95486	species
441158	strain
272560	strain
320371	strain
557724	strain
1249473	strain
272560	strain
272560	strain
272560	strain
292	species
337	species
95486	species
152480	species
95486	species
95486	species
95486	species
60550	species
95486	species
152480	species
28095	species
95486	species
884204	strain
28450	species
28450	species
57975	species
28450	species
57975	species
57975	species
57975	species
28450	species
28450	species
95486	species
95486	species
32008	genus
28450	species
1121131	strain
197	species
32022	subspecies
197	species
32022	subspecies
1357994	strain
197	species
32022	subspecies
197	species
32022	subspecies
205	species
32022	subspecies
1201032	strain
32022	subspecies
197	species
197	species
197	species
197	species
205	species
197	species
194	genus
194	genus
190650	strain
190650	strain
155892	species
190650	strain
190650	strain
190650	strain
155892	species
78	species
155892	species
155892	species
155892	species
155892	species
155892	species
155892	species
155892	species
155892	species
1397108	species
76594	species
76594	species
76594	species
76594	species
76594	species
76594	species
1348583	strain
76594	species
1348583	strain
76594	species
76594	species
76594	species
76594	species
1348584	strain
76594	species
1348584	strain
76594	species
1348584	strain
76594	species
1348584	strain
76594	species
76594	species
76594	species
1348585	strain
1348585	strain
76594	species
76594	species
76594	species
76594	species
76594	species
76594	species
76594	species
76594	species
76594	species
76594	species
1348582	strain
192170	species
192170	species
83554	species
83555	species
83556	species
227941	isolate
331635	strain
83555	species
83554	species
83554	species
115711	strain
546	species
546	species
67825	species
67825	species
1676276	species
546	species
1896336	species
546	species
546	species
544	genus
546	species
546	species
546	species
546	species
546	species
67825	species
67825	species
546	species
546	species
546	species
546	species
546	species
546	species
544	genus
67825	species
67825	species
35703	species
33013	subspecies
28447	species
1496	species
1496	species
929505	strain
1496	species
1496	species
1496	species
1502	species
1502	species
195103	strain
1502	species
1496	species
1502	species
1502	species
1509	species
1496	species
1496	species
1496	species
1496	species
1496	species
1496	species
1496	species
1496	species
1496	species
1485	genus
1496	species
1485	genus
1485	genus
1502	species
1502	species
1502	species
1502	species
1502	species
1502	species
1502	species
1513	species
1513	species
1513	species
1513	species
1513	species
1172203	strain
1513	species
1513	species
1519	species
1496	species
1496	species
1496	species
1496	species
1502	species
289380	strain
1502	species
1502	species
1502	species
1496	species
1496	species
28228	genus
167879	strain
1725	species
92706	species
38305	species
38305	species
1725	species
1725	species
38305	species
1725	species
1718	species
1718	species
1718	species
38305	species
1725	species
1725	species
38305	species
1725	species
38305	species
216432	strain
216432	strain
28141	species
28141	species
28141	species
28141	species
28141	species
413502	species
413503	species
1159554	strain
1159613	strain
1163710	species
413502	species
28141	species
28141	species
28141	species
28141	species
413502	species
28141	species
1888169	species
1159491	strain
1138308	strain
28141	species
28141	species
28141	species
28141	species
28141	species
28141	species
28141	species
28141	species
28141	species
28141	species
413503	species
28141	species
1888168	species
167542	strain
32051	species
32051	species
1218	genus
167555	strain
59920	strain
59922	strain
59920	strain
59920	strain
166321	species
59920	strain
1184	species
47253	species
74547	strain
1129	genus
1131	species
1129	genus
1131	species
1131	species
166314	species
166314	species
1131	species
1131	species
167539	strain
166321	species
166313	species
391290	species
1537702	species
80866	species
180282	species
1778540	species
1089444	species
1089444	species
1089444	species
1089444	species
1089444	species
1914291	species
1224151	strain
1089444	species
1224151	strain
1224151	strain
1089444	species
215813	species
398580	strain
215813	species
398580	strain
215813	species
398580	strain
215813	species
1821960	species
67780	species
67780	species
636	species
636	species
636	species
636	species
67780	species
67780	species
636	species
84112	species
1676277	species
562	species
550	species
550	species
550	species
550	species
550	species
550	species
69218	species
61645	species
548	species
547	genus
42895	species
550	species
550	species
548	species
548	species
548	species
550	species
550	species
1676277	species
550	species
562	species
562	species
991915	serotype
562	species
244319	serotype
562	species
543	family
562	species
439184	strain
90371	no rank
562	species
624	species
83334	serotype
562	species
562	species
562	species
562	species
1038927	serotype
373045	serotype
543	family
562	species
562	species
562	species
543	family
543	family
543	family
543	family
562	species
498388	strain
543	family
543	family
543	family
543	family
543	family
562	species
562	species
83333	strain
83333	strain
83333	strain
376725	serotype
562	species
543	family
562	species
1144303	strain
562	species
562	species
562	species
562	species
562	species
562	species
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
543	family
562	species
561	genus
562	species
562	species
562	species
562	species
562	species
543	family
543	family
543	family
543	family
287	species
294	species
303	species
471	species
562	species
584	species
666	species
90371	no rank
562	species
37762	strain
562	species
562	species
37762	strain
37762	strain
37762	strain
562	species
37762	strain
37762	strain
562	species
37762	strain
37762	strain
37762	strain
562	species
37762	strain
498388	strain
623	species
623	species
623	species
562	species
85569	strain
562	species
562	species
562	species
562	species
59201	subspecies
469008	strain
469008	strain
469008	strain
469008	strain
511693	strain
469008	strain
562	species
83334	serotype
562	species
83334	serotype
543	family
543	family
543	family
562	species
543	family
543	family
543	family
543	family
543	family
543	family
83334	serotype
562	species
59201	subspecies
1350	genus
1350	genus
1352	species
1351	species
1351	species
1351	species
1352	species
1351	species
1351	species
1351	species
1351	species
936153	strain
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1352	species
1351	species
1351	species
1351	species
1351	species
525279	strain
1351	species
1351	species
1350	genus
35783	species
1352	species
1352	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1350	genus
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1350	genus
1351	species
1351	species
1351	species
1351	species
1351	species
1169286	strain
1351	species
1352	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1352	species
1352	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1351	species
1157397	strain
525271	strain
226185	strain
552	species
552	species
552	species
552	species
552	species
552	species
65700	species
552	species
558	species
552	species
552	species
79967	species
79967	species
79967	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
79967	species
338565	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
552	species
551	genus
551	genus
551	genus
552	species
1648	species
83334	serotype
83334	serotype
83334	serotype
83334	serotype
83334	serotype
83334	serotype
562	species
562	species
562	species
562	species
67825	species
562	species
562	species
561	genus
83333	strain
562	species
562	species
562	species
562	species
562	species
83334	serotype
155864	strain
83333	strain
83333	strain
562	species
511145	no rank
562	species
