virus_name	viral_acc	evidence	report_host	host_taxid	host_lineage	host_tax_rank
Staphylococcus phage UPMK_2	NC_054983	Literature	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauM_Remus	NC_022090	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauM_Romulus	NC_020877	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauP_EBHT	NC_055906	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauP_phiAGO1.3	NC_047919	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauS-phiIPLA88	NC_011614	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauS-SAP27	NC_054981	RefSeq	Staphylococcus aureus subsp. aureus RN4220	561307	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	strain
Staphylococcus phage vB_SauS_fPfSau02	NC_055039	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauS_JS02	NC_055040	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SauS_phi2	NC_028862	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SepS_SEP9	NC_023582	RefSeq	Staphylococcus epidermidis	1282	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage vB_SpsM_WIS42	NC_055025	RefSeq	Staphylococcus pseudintermedius	283734	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus intermedius group	species
Staphylococcus phage vB_SpsS_QT1	NC_048192	RefSeq	Staphylococcus pseudintermedius	283734	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus intermedius group	species
Staphylococcus phage vB_SscM-1	NC_047767	RefSeq	Staphylococcus sp.	29387	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus phage YMC/09/04/R1988	NC_022758	Literature	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus prophage phiPV83	NC_002486	RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 108PVL	NC_008689	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 11	NC_004615	Literature, NCBI Virus, RefSeq	Staphylococcus aureus subsp. aureus NCTC 8325	93061	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	strain
Staphylococcus virus 13	NC_004617	NCBI Virus, RefSeq	Staphylococcus aureus subsp. aureus NCTC 8325	93061	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	strain
Staphylococcus virus 187	NC_007047	Literature	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 29	NC_007061	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 37	NC_007055	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 3a	NC_007053	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 42e	NC_007052	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 44AHJD	NC_004678	NCBI Virus, RefSeq, UniProt	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus 47	NC_007054	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
