virus_name	viral_acc	evidence	report_host	host_taxid	host_lineage	host_tax_rank
Streptococcus phage PH15	NC_010945	NCBI Virus, RefSeq	Streptococcus gordonii	1302	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage phi20c	KC348598	NCBI Virus, RefSeq	Streptococcus suis	1307	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage phi30c	KC348599	NCBI Virus, RefSeq	Streptococcus suis	1307	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage phi3396	NC_009018	NCBI Virus	Streptococcus dysgalactiae	1334	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group	species
Streptococcus phage phi3396	NC_009018	RefSeq	Streptococcus dysgalactiae subsp. equisimilis	119602	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group; Streptococcus dysgalactiae	subspecies
Streptococcus phage phi5218	KC348600	NCBI Virus, RefSeq	Streptococcus suis	1307	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage phi7917	KC348601	NCBI Virus, RefSeq	Streptococcus suis	1307	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage phi891591	KC348602	NCBI Virus, RefSeq	Streptococcus suis 89/1591	286604	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus suis	strain
Streptococcus phage phiARI0004	NC_031920	NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage phiARI0031	NC_031910	NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage phiARI0131-1	NC_031901	NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
