virus_name	viral_acc	report_host	host_taxid	host_lineage	host_tax_rank
Mycobacterium phage Bxz1	NC_004687	Mycolicibacterium vaccae	1810	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	species
Mycobacterium phage ByChance	NC_051640	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Byougenkin	NC_051641	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Cabrinians	NC_028678	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Cali	NC_011271	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Cambiare	NC_028922	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Camperdownii	NC_054799	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Cane17	NC_054716	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage CaptainTrips	NC_028842	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Carcharodon	NC_028779	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage CASbig	NC_021324	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Catalina	NC_031238	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Catdawg	NC_022057	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Catera	NC_008207	Mycolicibacterium smegmatis	1772	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	species
Mycobacterium phage CELFI	NC_053506	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Centaur	NC_054808	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Cerasum	NC_026604	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Cerulean	NC_054795	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Chadwick	NC_028897	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
