virus_name	viral_acc	report_host	gcf	find_taxrank
Escherichia phage phiAPCEc03	NC_047754	Escherichia coli	GCF_000008865.2	species
Escherichia phage phiC120	NC_055718	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage phiE142	NC_055709	Escherichia coli	GCF_000008865.2	species
Escherichia phage phiEB49	NC_023743	Escherichia coli CFT073	GCF_014262945.1	strain
Escherichia phage phiEC1	NC_041920	Escherichia coli	GCF_000008865.2	species
Escherichia phage phiEco32	NC_010324	Escherichia coli	GCF_000008865.2	species
Escherichia phage phiEcoM-GJ1	NC_010106	Escherichia coli	GCF_000008865.2	species
Escherichia phage phiK	NC_001730	Escherichia coli	GCF_000008865.2	species
Escherichia phage phiKP26	NC_042038	Salmonella enterica subsp. enterica serovar Oranienburg	GCF_004798745.1	no rank
Escherichia phage phiLLS	NC_047822	Escherichia coli O157	GCF_008727195.1	serogroup
Escherichia phage phiSUSP1	NC_028808	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage phiV10	NC_007804	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage phT4A	NC_055712	Escherichia coli	GCF_000008865.2	species
