virus_name	viral_acc	report_host	gcf	find_taxrank
Enterococcus phage vB_EfaS_AL2	NC_042127	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_AL3	NC_042126	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_EF1c55	MN103542	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef2.2	MK721189	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef5.1	MK721199	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef5.2	MK721186	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef5.3	MK721200	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef5.4	MK721191	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef6.1	MK721187	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef6.4	MK721190	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Ef7.1	MK721194	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_HEf13	MH618488	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_IME196	NC_028990	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_IME197	NC_028671	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_IME198	NC_029016	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_LM99	MH355583	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_Max	MK360024	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_EfaS_PHB08	MK570225	Enterococcus faecalis	GCF_022557275.1	species
Enterococcus phage vB_OCPT_Ben	MN027503	Enterococcus faecalis EnGen0211	GCF_022557275.1	species
Enterococcus phage VD13	NC_024212	Enterococcus faecalis ATCC 29200	GCF_022557275.1	species
Enterococcus phage VD13	NC_041861	Enterococcus faecalis ATCC 29200	GCF_022557275.1	species
Enterococus phage vipetofem	NC_055834	Enterococcus faecalis V583	GCF_000007785.1	strain
Erwinia amylovora phage Era103	NC_009014	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage Cronus	NC_055743	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage Derbicus	NC_048173	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage Ea35-70	NC_023557	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage Ea9-2	NC_023579	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage ENT90	NC_019932	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage EtG	NC_047833	Erwinia tracheiphila	GCF_021365465.1	species
Erwinia phage Faunus	NC_047978	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage Hena1	NC_048828	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage Machina	NC_042056	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage PEp14	NC_016767	Erwinia pyrifoliae	GCF_002952315.1	species
Erwinia phage pEp_SNUABM_01	NC_048807	Erwinia pyrifoliae	GCF_002952315.1	species
Erwinia phage pEp_SNUABM_08	NC_053011	Erwinia pyrifoliae	GCF_002952315.1	species
Erwinia phage phiEa100	NC_019926	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage phiEa104	NC_015292	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage phiEa1H	FQ482084	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage phiEa21-4	NC_011811	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage phiEa2809	NC_027340	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage PhiEaH1	NC_023610	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage phiEaH2	NC_019929	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage phiEaP8	NC_049510	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage phiEaP8	NC_049510	Erwinia pyrifoliae	GCF_002952315.1	species
Erwinia phage phiEt88	NC_015295	Erwinia tasmaniensis	GCF_000026185.1	species
Erwinia phage vB_Eam-MM7	NC_041978	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM-Bue1	NC_048702	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM-Y2	NC_019504	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Alexandra	NC_047995	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Asesino	NC_031107	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Caitlin	NC_031120	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_ChrisDB	NC_031126	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Deimos-Minion	NC_041972	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Desertfox	NC_042098	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_EarlPhillipIV	NC_031007	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Huxley	NC_031127	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Kwan	NC_031010	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Phobos	NC_031043	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_RAY	NC_041973	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_RisingSun	NC_042018	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Simmy50	NC_041974	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Special G	NC_041975	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Y3	NC_047880	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamM_Yoloswag	NC_047815	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamP-L1	NC_019510	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamP-S2	NC_047917	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage vB_EamP-S6	NC_019514	Erwinia amylovora	GCF_000091565.1	species
Erwinia phage Wellington	NC_048016	Erwinia amylovora	GCF_000091565.1	species
Erysipelothrix phage SE-1	NC_029078	Erysipelothrix rhusiopathiae	GCF_900637845.1	species
Escherichia coli O157 typing phage 10	KP869108	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia coli O157 typing phage 11	KP869109	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia coli O157 typing phage 12	KP869110	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia coli O157 typing phage 3	NC_041863	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia coli O157 typing phage 5	KP869103	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia coli O157 typing phage 6	NC_041864	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage 121Q	NC_025447	Escherichia coli	GCF_000008865.2	species
Escherichia phage 13a	NC_011045	Escherichia coli	GCF_000008865.2	species
Escherichia phage 172-1	NC_028903	Escherichia coli	GCF_000008865.2	species
Escherichia phage 1720a-02	KF030445	Escherichia coli	GCF_000008865.2	species
Escherichia phage 1720a-02	KF030445	Citrobacter rodentium	GCF_021278985.1	species
Escherichia phage 186	NC_001317	Escherichia coli	GCF_000008865.2	species
Escherichia phage 285P	NC_015249	Escherichia coli	GCF_000008865.2	species
Escherichia phage 4MG	NC_022968	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage 500465-1	NC_049342	Escherichia coli	GCF_000008865.2	species
Escherichia phage 500465-2	NC_049343	Escherichia coli	GCF_000008865.2	species
Escherichia phage 503458	NC_049341	Escherichia coli	GCF_000008865.2	species
Escherichia phage 520873	NC_049344	Escherichia coli	GCF_000008865.2	species
Escherichia phage 64795_ec1	NC_031114	Escherichia coli	GCF_000008865.2	species
Escherichia phage 933W	NC_000924	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage 933W	NC_000924	Escherichia coli O157:H7 str. EDL933	GCF_000008865.2	species
Escherichia phage aalborv	NC_049829	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage aaroes	NC_049826	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage ADB-2	NC_019725	Escherichia coli	GCF_000008865.2	species
Escherichia phage alia	NC_052655	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage alpha3	NC_001330	Escherichia coli	GCF_000008865.2	species
Escherichia phage anhysbys	NC_052656	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage AnYang	NC_055782	Escherichia coli O157	GCF_008727195.1	serogroup
Escherichia phage APCEc01	NC_029091	Escherichia coli	GCF_000008865.2	species
Escherichia phage APECc02	NC_041869	Escherichia coli	GCF_000008865.2	species
Escherichia phage AR1	NC_027983	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage ArgO145	NC_049918	Escherichia coli O145:H-	GCF_000008865.2	species
Escherichia phage atuna	NC_049819	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage Av-05	NC_025830	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage BA14	NC_011040	Escherichia coli	GCF_000008865.2	species
Escherichia phage Bp4	NC_024142	Escherichia coli	GCF_000008865.2	species
Escherichia phage Bp7	NC_019500	Escherichia coli	GCF_000008865.2	species
Escherichia phage bV_EcoS_AHP24	KF771236	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage C1	NC_054651	Escherichia coli	GCF_000008865.2	species
Escherichia phage C119	NC_042046	Escherichia coli	GCF_000008865.2	species
Escherichia phage C5	NC_048079	Escherichia coli	GCF_000008865.2	species
Escherichia phage CAjan	NC_028776	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage Cba120	NC_016570	Escherichia coli	GCF_000008865.2	species
Escherichia phage chee24	NC_047885	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage CICC 80001	NC_027387	Escherichia coli	GCF_000008865.2	species
Escherichia phage D108	NC_013594	Escherichia coli	GCF_000008865.2	species
Escherichia phage D6	NC_050154	Escherichia coli	GCF_000008865.2	species
Escherichia phage damhaus	NC_049827	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage DE3	NC_042057	Escherichia coli BL21(DE3)	GCF_019754155.1	strain
